ArXiv Id,Ground Truth ROR IDs,Extracted ROR IDs,Missing ROR IDs,Extra ROR IDs
2201.00032v2,"{'https://ror.org/0042e5975', 'https://ror.org/00z54nq84', 'https://ror.org/03fd77x13', 'https://ror.org/01ggtn466', 'https://ror.org/00s19x989', 'https://ror.org/02be6w209', 'https://ror.org/02en5vm52', 'https://ror.org/013cjyk83', 'https://ror.org/00rydyx93', 'https://ror.org/05f82e368', 'https://ror.org/02feahw73', 'https://ror.org/005ta0471', 'https://ror.org/04kdfz702', 'https://ror.org/03rxtdc22'}",{'https://ror.org/02feahw73'},"{'https://ror.org/0042e5975', 'https://ror.org/00z54nq84', 'https://ror.org/03fd77x13', 'https://ror.org/01ggtn466', 'https://ror.org/00s19x989', 'https://ror.org/02be6w209', 'https://ror.org/02en5vm52', 'https://ror.org/013cjyk83', 'https://ror.org/00rydyx93', 'https://ror.org/05f82e368', 'https://ror.org/005ta0471', 'https://ror.org/04kdfz702', 'https://ror.org/03rxtdc22'}",set()
2201.00033v3,"{'https://ror.org/028vqfs63', 'https://ror.org/04wkzvc75', 'https://ror.org/04wffgt70'}","{'https://ror.org/028vqfs63', 'https://ror.org/04wkzvc75'}",{'https://ror.org/04wffgt70'},set()
2201.00034v1,{'https://ror.org/0160cpw27'},"{'https://ror.org/02hk0z764', 'https://ror.org/0160cpw27'}",set(),{'https://ror.org/02hk0z764'}
2201.00035v2,"{'https://ror.org/05qbk4x57', 'https://ror.org/034t30j35', 'https://ror.org/03cx6bg69', 'https://ror.org/0220qvk04', 'https://ror.org/03tqb8s11'}","{'https://ror.org/05qbk4x57', 'https://ror.org/034t30j35', 'https://ror.org/04gnjpq42', 'https://ror.org/03cx6bg69', 'https://ror.org/0220qvk04', 'https://ror.org/03tqb8s11'}",set(),{'https://ror.org/04gnjpq42'}
2201.00036v2,{'https://ror.org/02g7kd627'},"{'https://ror.org/02g7kd627', 'https://ror.org/01sbq1a82'}",set(),{'https://ror.org/01sbq1a82'}
2201.00038v1,"{'https://ror.org/03v4gjf40', 'https://ror.org/04qtj9h94'}","{'https://ror.org/01r1e1h27', 'https://ror.org/04qtj9h94'}",{'https://ror.org/03v4gjf40'},{'https://ror.org/01r1e1h27'}
2201.00039v1,"{'https://ror.org/05a28rw58', 'https://ror.org/01rvn4p91'}","{'https://ror.org/05a28rw58', 'https://ror.org/0472cxd90'}",{'https://ror.org/01rvn4p91'},{'https://ror.org/0472cxd90'}
2201.00040v4,{'https://ror.org/00f54p054'},{'https://ror.org/052gg0110'},{'https://ror.org/00f54p054'},{'https://ror.org/052gg0110'}
2201.00042v2,"{'https://ror.org/05bnh6r87', 'https://ror.org/00f54p054', 'https://ror.org/00jmfr291', 'https://ror.org/05x2bcf33'}","{'https://ror.org/00f54p054', 'https://ror.org/05bnh6r87', 'https://ror.org/05x2bcf33'}",{'https://ror.org/00jmfr291'},set()
2201.00044v3,"{'https://ror.org/00za53h95', 'https://ror.org/00hj8s172', 'https://ror.org/02sn5gb64'}","{'https://ror.org/00hj8s172', 'https://ror.org/00za53h95'}",{'https://ror.org/02sn5gb64'},set()
2201.00045v1,"{'https://ror.org/017wcm924', 'https://ror.org/01y64my43', 'https://ror.org/01q1z8k08', 'https://ror.org/01zkghx44'}",{'https://ror.org/01zkghx44'},"{'https://ror.org/017wcm924', 'https://ror.org/01y64my43', 'https://ror.org/01q1z8k08'}",set()
2201.00046v1,"{'https://ror.org/05dxps055', 'https://ror.org/05ngeh012', 'https://ror.org/0036rpn28'}","{'https://ror.org/05dxps055', 'https://ror.org/0036rpn28'}",{'https://ror.org/05ngeh012'},set()
2201.00047v2,"{'https://ror.org/013m0ej23', 'https://ror.org/01hhn8329', 'https://ror.org/02qte9q33', 'https://ror.org/03sry2h30', 'https://ror.org/01aff2v68', 'https://ror.org/028kg9j04', 'https://ror.org/0304hq317'}","{'https://ror.org/01aff2v68', 'https://ror.org/02qte9q33'}","{'https://ror.org/013m0ej23', 'https://ror.org/01hhn8329', 'https://ror.org/03sry2h30', 'https://ror.org/028kg9j04', 'https://ror.org/0304hq317'}",set()
2201.00048v2,"{'https://ror.org/052d0h423', 'https://ror.org/01hhn8329'}",set(),"{'https://ror.org/052d0h423', 'https://ror.org/01hhn8329'}",set()
2201.00049v3,"{'https://ror.org/02tbr6331', 'https://ror.org/0524sp257', 'https://ror.org/02aj13c28', 'https://ror.org/006hf6230', 'https://ror.org/049tgcd06', 'https://ror.org/041kmwe10', 'https://ror.org/052gg0110', 'https://ror.org/0281dp749', 'https://ror.org/030sjb889', 'https://ror.org/01gfs0a38', 'https://ror.org/046ak2485'}","{'https://ror.org/0524sp257', 'https://ror.org/006hf6230', 'https://ror.org/041kmwe10', 'https://ror.org/052gg0110'}","{'https://ror.org/02tbr6331', 'https://ror.org/02aj13c28', 'https://ror.org/049tgcd06', 'https://ror.org/0281dp749', 'https://ror.org/030sjb889', 'https://ror.org/01gfs0a38', 'https://ror.org/046ak2485'}",set()
2201.00050v1,{'https://ror.org/010pmpe69'},{'https://ror.org/0424h4e32'},{'https://ror.org/010pmpe69'},{'https://ror.org/0424h4e32'}
2201.00051v1,"{'https://ror.org/04zfme737', 'https://ror.org/0107c5v14'}",set(),"{'https://ror.org/04zfme737', 'https://ror.org/0107c5v14'}",set()
2201.00052v1,"{'https://ror.org/03p14d497', 'https://ror.org/041kmwe10'}","{'https://ror.org/0439y7842', 'https://ror.org/03p14d497', 'https://ror.org/041kmwe10'}",set(),{'https://ror.org/0439y7842'}
2201.00053v1,"{'https://ror.org/02jx3x895', 'https://ror.org/04cw6st05'}",{'https://ror.org/013meh722'},"{'https://ror.org/02jx3x895', 'https://ror.org/04cw6st05'}",{'https://ror.org/013meh722'}
2201.00054v1,{'https://ror.org/03qxff017'},"{'https://ror.org/013meh722', 'https://ror.org/03qxff017'}",set(),{'https://ror.org/013meh722'}
2201.00055v1,"{'https://ror.org/03xrrjk67', 'https://ror.org/051fvmk98', 'https://ror.org/0432jq872'}","{'https://ror.org/02b9aym09', 'https://ror.org/03xrrjk67', 'https://ror.org/0432jq872'}",{'https://ror.org/051fvmk98'},{'https://ror.org/02b9aym09'}
2201.00056v2,{'https://ror.org/03x0c7470'},{'https://ror.org/0245cg223'},{'https://ror.org/03x0c7470'},{'https://ror.org/0245cg223'}
2201.00057v2,"{'https://ror.org/03kqdja62', 'https://ror.org/03dbr7087'}",set(),"{'https://ror.org/03kqdja62', 'https://ror.org/03dbr7087'}",set()
2201.00058v2,"{'https://ror.org/05f82e368', 'https://ror.org/02feahw73', 'https://ror.org/03f9nc143'}",set(),"{'https://ror.org/05f82e368', 'https://ror.org/02feahw73', 'https://ror.org/03f9nc143'}",set()
2201.00059v1,"{'https://ror.org/047426m28', 'https://ror.org/03qbxj466', 'https://ror.org/03jdj4y14', 'https://ror.org/049emcs32', 'https://ror.org/05e94g991', 'https://ror.org/05x2bcf33'}","{'https://ror.org/001hv0k59', 'https://ror.org/00hx57361', 'https://ror.org/00f54p054'}","{'https://ror.org/047426m28', 'https://ror.org/03qbxj466', 'https://ror.org/03jdj4y14', 'https://ror.org/049emcs32', 'https://ror.org/05e94g991', 'https://ror.org/05x2bcf33'}","{'https://ror.org/001hv0k59', 'https://ror.org/00hx57361', 'https://ror.org/00f54p054'}"
2201.00060v1,"{'https://ror.org/047426m28', 'https://ror.org/05e94g991', 'https://ror.org/024mw5h28'}","{'https://ror.org/047426m28', 'https://ror.org/024mw5h28'}",{'https://ror.org/05e94g991'},set()
2201.00061v2,"{'https://ror.org/047gc3g35', 'https://ror.org/044cse639'}",{'https://ror.org/00hx57361'},"{'https://ror.org/047gc3g35', 'https://ror.org/044cse639'}",{'https://ror.org/00hx57361'}
2201.00063v1,"{'https://ror.org/03s65by71', 'https://ror.org/04gyf1771', 'https://ror.org/00pjdza24'}",{'https://ror.org/05ymybb54'},"{'https://ror.org/03s65by71', 'https://ror.org/04gyf1771', 'https://ror.org/00pjdza24'}",{'https://ror.org/05ymybb54'}
2201.00065v3,"{'https://ror.org/00hx57361', 'https://ror.org/05krs5044', 'https://ror.org/02kvxyf05'}","{'https://ror.org/00hx57361', 'https://ror.org/04atp4p48', 'https://ror.org/00k4n6c32', 'https://ror.org/05krs5044'}",{'https://ror.org/02kvxyf05'},"{'https://ror.org/04atp4p48', 'https://ror.org/00k4n6c32'}"
2201.00066v2,"{'https://ror.org/022wqqf69', 'https://ror.org/02gfc7t72', 'https://ror.org/017xch102', 'https://ror.org/043nxc105', 'https://ror.org/03srtnf24'}",set(),"{'https://ror.org/022wqqf69', 'https://ror.org/02gfc7t72', 'https://ror.org/017xch102', 'https://ror.org/043nxc105', 'https://ror.org/03srtnf24'}",set()
2201.00067v1,"{'https://ror.org/00mmn6b08', 'https://ror.org/01bj3aw27', 'https://ror.org/01e41cf67', 'https://ror.org/05hs6h993', 'https://ror.org/01qz5mb56', 'https://ror.org/02vwzrd76', 'https://ror.org/03sk1we31'}","{'https://ror.org/01e41cf67', 'https://ror.org/05hs6h993', 'https://ror.org/01qz5mb56', 'https://ror.org/02vwzrd76'}","{'https://ror.org/03sk1we31', 'https://ror.org/01bj3aw27', 'https://ror.org/00mmn6b08'}",set()
2201.00068v3,"{'https://ror.org/04twxam07', 'https://ror.org/03qbxj466', 'https://ror.org/043mz5j54', 'https://ror.org/00pjdza24', 'https://ror.org/049emcs32', 'https://ror.org/00hj54h04'}","{'https://ror.org/04twxam07', 'https://ror.org/043mz5j54', 'https://ror.org/00pjdza24', 'https://ror.org/04r0gp612', 'https://ror.org/049emcs32', 'https://ror.org/00hj54h04'}",{'https://ror.org/03qbxj466'},{'https://ror.org/04r0gp612'}
2201.00069v1,"{'https://ror.org/00z54nq84', 'https://ror.org/01hhn8329', 'https://ror.org/016sewp10', 'https://ror.org/02cte4b68', 'https://ror.org/04h1h0y33', 'https://ror.org/04jvemc39', 'https://ror.org/02feahw73', 'https://ror.org/057qpr032', 'https://ror.org/048rj2z13', 'https://ror.org/040r57n67', 'https://ror.org/059b5pb30', 'https://ror.org/00shsf120', 'https://ror.org/051escj72', 'https://ror.org/035xkbk20', 'https://ror.org/03bnmw459', 'https://ror.org/03bqmcz70', 'https://ror.org/01v4e7289', 'https://ror.org/00jjx8s55', 'https://ror.org/03x0c7470', 'https://ror.org/010f1sq29', 'https://ror.org/02ma7yv75', 'https://ror.org/058t6p923', 'https://ror.org/05k705z76', 'https://ror.org/052d0h423', 'https://ror.org/00fw8bp86', 'https://ror.org/03bea9k73', 'https://ror.org/042tfbd02', 'https://ror.org/05hy3tk52', 'https://ror.org/051sx6d27', 'https://ror.org/03rp50x72', 'https://ror.org/017d9yp59', 'https://ror.org/01hg8p552', 'https://ror.org/00nrbzg90', 'https://ror.org/034a4bk84', 'https://ror.org/04m1bn674', 'https://ror.org/03xjwb503', 'https://ror.org/052gg0110', 'https://ror.org/013cjyk83', 'https://ror.org/01dr6c206', 'https://ror.org/00892tw58', 'https://ror.org/01sjwvz98', 'https://ror.org/01js2sh04', 'https://ror.org/027m9bs27', 'https://ror.org/04dkp9463', 'https://ror.org/03a1kwz48', 'https://ror.org/01hcx6992', 'https://ror.org/00ad27c73', 'https://ror.org/0384j8v12', 'https://ror.org/03fd77x13', 'https://ror.org/04gqg1a07', 'https://ror.org/039bjqg32', 'https://ror.org/00j9qag85', 'https://ror.org/016xje988', 'https://ror.org/02en5vm52', 'https://ror.org/057zh3y96', 'https://ror.org/00rbzpz17', 'https://ror.org/05f82e368', 'https://ror.org/0281dp749', 'https://ror.org/029nkcm90', 'https://ror.org/00f7hpc57', 'https://ror.org/01sn1yx84', 'https://ror.org/04kdfz702', 'https://ror.org/0102mm775', 'https://ror.org/04h699437', 'https://ror.org/054pv6659'}","{'https://ror.org/0384j8v12', 'https://ror.org/03rp50x72', 'https://ror.org/016sewp10', 'https://ror.org/010f1sq29', 'https://ror.org/052gg0110', 'https://ror.org/02feahw73', 'https://ror.org/01sn1yx84', 'https://ror.org/01mjdf856', 'https://ror.org/027m9bs27'}","{'https://ror.org/00z54nq84', 'https://ror.org/01hhn8329', 'https://ror.org/04jvemc39', 'https://ror.org/057qpr032', 'https://ror.org/048rj2z13', 'https://ror.org/059b5pb30', 'https://ror.org/051escj72', 'https://ror.org/00jjx8s55', 'https://ror.org/03x0c7470', 'https://ror.org/042tfbd02', 'https://ror.org/05hy3tk52', 'https://ror.org/051sx6d27', 'https://ror.org/00nrbzg90', 'https://ror.org/034a4bk84', 'https://ror.org/03xjwb503', 'https://ror.org/013cjyk83', 'https://ror.org/00892tw58', 'https://ror.org/01js2sh04', 'https://ror.org/04dkp9463', 'https://ror.org/00ad27c73', 'https://ror.org/03fd77x13', 'https://ror.org/039bjqg32', 'https://ror.org/00j9qag85', 'https://ror.org/016xje988', 'https://ror.org/057zh3y96', 'https://ror.org/00rbzpz17', 'https://ror.org/0281dp749', 'https://ror.org/029nkcm90', 'https://ror.org/00f7hpc57', 'https://ror.org/04kdfz702', 'https://ror.org/0102mm775', 'https://ror.org/02cte4b68', 'https://ror.org/04h1h0y33', 'https://ror.org/040r57n67', 'https://ror.org/00shsf120', 'https://ror.org/035xkbk20', 'https://ror.org/03bnmw459', 'https://ror.org/03bqmcz70', 'https://ror.org/01v4e7289', 'https://ror.org/02ma7yv75', 'https://ror.org/058t6p923', 'https://ror.org/05k705z76', 'https://ror.org/04h699437', 'https://ror.org/052d0h423', 'https://ror.org/00fw8bp86', 'https://ror.org/03bea9k73', 'https://ror.org/017d9yp59', 'https://ror.org/01hg8p552', 'https://ror.org/04m1bn674', 'https://ror.org/01dr6c206', 'https://ror.org/03a1kwz48', 'https://ror.org/01hcx6992', 'https://ror.org/04gqg1a07', 'https://ror.org/02en5vm52', 'https://ror.org/05f82e368', 'https://ror.org/01sjwvz98', 'https://ror.org/054pv6659'}",{'https://ror.org/01mjdf856'}
2201.00070v2,"{'https://ror.org/00z54nq84', 'https://ror.org/03fd77x13', 'https://ror.org/029brtt94', 'https://ror.org/03eh3y714', 'https://ror.org/04njjy449', 'https://ror.org/00pjdza24', 'https://ror.org/02avf8f85', 'https://ror.org/04t3en479', 'https://ror.org/02feahw73', 'https://ror.org/03s65by71', 'https://ror.org/01rk35k63', 'https://ror.org/01ggx4157'}","{'https://ror.org/00z54nq84', 'https://ror.org/00pjdza24', 'https://ror.org/04t3en479', 'https://ror.org/014er3x17', 'https://ror.org/03s65by71'}","{'https://ror.org/03fd77x13', 'https://ror.org/029brtt94', 'https://ror.org/03eh3y714', 'https://ror.org/04njjy449', 'https://ror.org/01ggx4157', 'https://ror.org/02feahw73', 'https://ror.org/01rk35k63', 'https://ror.org/02avf8f85'}",{'https://ror.org/014er3x17'}
2201.00071v1,{'https://ror.org/04q78tk20'},"{'https://ror.org/04q78tk20', 'https://ror.org/036jqmy94'}",set(),{'https://ror.org/036jqmy94'}
2201.00072v2,"{'https://ror.org/046rm7j60', 'https://ror.org/00pjdza24', 'https://ror.org/00f54p054'}",{'https://ror.org/00f54p054'},"{'https://ror.org/046rm7j60', 'https://ror.org/00pjdza24'}",set()
2201.00073v2,"{'https://ror.org/0034eay46', 'https://ror.org/01f5ytq51'}",{'https://ror.org/02fzxed89'},"{'https://ror.org/0034eay46', 'https://ror.org/01f5ytq51'}",{'https://ror.org/02fzxed89'}
2201.00074v3,"{'https://ror.org/04t5xt781', 'https://ror.org/00f54p054'}",set(),"{'https://ror.org/04t5xt781', 'https://ror.org/00f54p054'}",set()
2201.00075v1,"{'https://ror.org/00py81415', 'https://ror.org/04z1nmb83'}",{'https://ror.org/00py81415'},{'https://ror.org/04z1nmb83'},set()
2201.00076v2,{'https://ror.org/01tmp8f25'},{'https://ror.org/01t466c14'},{'https://ror.org/01tmp8f25'},{'https://ror.org/01t466c14'}
2201.00077v3,"{'https://ror.org/02crff812', 'https://ror.org/05f82e368'}",set(),"{'https://ror.org/02crff812', 'https://ror.org/05f82e368'}",set()
2201.00078v2,{'https://ror.org/005781934'},"{'https://ror.org/005781934', 'https://ror.org/013meh722'}",set(),{'https://ror.org/013meh722'}
2201.00079v2,"{'https://ror.org/04cw6st05', 'https://ror.org/02jx3x895', 'https://ror.org/049e6bc10', 'https://ror.org/03mrbr458', 'https://ror.org/01n6r0e97', 'https://ror.org/03tghng59'}",{'https://ror.org/03wnrjx87'},"{'https://ror.org/02jx3x895', 'https://ror.org/04cw6st05', 'https://ror.org/049e6bc10', 'https://ror.org/03mrbr458', 'https://ror.org/01n6r0e97', 'https://ror.org/03tghng59'}",{'https://ror.org/03wnrjx87'}
2201.00080v1,"{'https://ror.org/02t274463', 'https://ror.org/00pjdza24', 'https://ror.org/04z1nmb83'}",{'https://ror.org/02t274463'},"{'https://ror.org/00pjdza24', 'https://ror.org/04z1nmb83'}",set()
2201.00082v1,"{'https://ror.org/00js3aw79', 'https://ror.org/040c17130'}","{'https://ror.org/00js3aw79', 'https://ror.org/040c17130', 'https://ror.org/03tgsfw79'}",set(),{'https://ror.org/03tgsfw79'}
2201.00083v1,{'https://ror.org/024c2fq17'},"{'https://ror.org/024c2fq17', 'https://ror.org/01x3s6v81', 'https://ror.org/04wbsq162'}",set(),"{'https://ror.org/01x3s6v81', 'https://ror.org/04wbsq162'}"
2201.00085v1,"{'https://ror.org/049tv2d57', 'https://ror.org/04c4dkn09', 'https://ror.org/01mv9t934', 'https://ror.org/00wk2mp56'}","{'https://ror.org/00wk2mp56', 'https://ror.org/049tv2d57', 'https://ror.org/04c4dkn09'}",{'https://ror.org/01mv9t934'},set()
2201.00086v1,{'https://ror.org/01tmp8f25'},{'https://ror.org/01t466c14'},{'https://ror.org/01tmp8f25'},{'https://ror.org/01t466c14'}
2201.00087v4,"{'https://ror.org/0190ak572', 'https://ror.org/03ydkyb10', 'https://ror.org/01y2jtd41', 'https://ror.org/01zkghx44', 'https://ror.org/03qt6ba18', 'https://ror.org/017wcm924'}","{'https://ror.org/0190ak572', 'https://ror.org/01y2jtd41', 'https://ror.org/01zkghx44', 'https://ror.org/03qt6ba18', 'https://ror.org/02qx6zf82'}","{'https://ror.org/017wcm924', 'https://ror.org/03ydkyb10'}",{'https://ror.org/02qx6zf82'}
2201.00088v1,{'https://ror.org/01tmp8f25'},{'https://ror.org/01t466c14'},{'https://ror.org/01tmp8f25'},{'https://ror.org/01t466c14'}
2201.00089v1,"{'https://ror.org/04cw6st05', 'https://ror.org/04489at23', 'https://ror.org/00xkeyj56'}","{'https://ror.org/013meh722', 'https://ror.org/04845gv95'}","{'https://ror.org/04cw6st05', 'https://ror.org/04489at23', 'https://ror.org/00xkeyj56'}","{'https://ror.org/013meh722', 'https://ror.org/04845gv95'}"
2201.00090v3,"{'https://ror.org/01bj3aw27', 'https://ror.org/05gvnxz63', 'https://ror.org/00mmn6b08'}","{'https://ror.org/05vt9qd57', 'https://ror.org/05gvnxz63'}","{'https://ror.org/01bj3aw27', 'https://ror.org/00mmn6b08'}",{'https://ror.org/05vt9qd57'}
2201.00092v3,"{'https://ror.org/046rm7j60', 'https://ror.org/00pjdza24', 'https://ror.org/0566a8c54', 'https://ror.org/008zs3103', 'https://ror.org/049pfb863'}","{'https://ror.org/008zs3103', 'https://ror.org/04tj63d06'}","{'https://ror.org/049pfb863', 'https://ror.org/0566a8c54', 'https://ror.org/046rm7j60', 'https://ror.org/00pjdza24'}",{'https://ror.org/04tj63d06'}
2201.00094v1,{'https://ror.org/03jdj4y14'},"{'https://ror.org/00hj8s172', 'https://ror.org/05k9pq902'}",{'https://ror.org/03jdj4y14'},"{'https://ror.org/00hj8s172', 'https://ror.org/05k9pq902'}"
2201.00095v1,"{'https://ror.org/02qskvh78', 'https://ror.org/01r0c1p88'}",{'https://ror.org/04rq5mt64'},"{'https://ror.org/02qskvh78', 'https://ror.org/01r0c1p88'}",{'https://ror.org/04rq5mt64'}
