Scopus ID,Primary Org Name,Primary Org City,Primary Org State,Country Name
60000677,Leibniz Institute for Astrophysics Potsdam,Potsdam,Brandenburg,Germany
60000679,Fraunhofer Institute for Molecular Biology and Applied Ecology IME,Aachen,Nordrhein-Westfalen,Germany
60000689,Kansas State University,Manhattan,KS,United States
60000690,Punjabi University,Patiala,PB,India
60000694,Institut National de Recherche en Sciences et Technologies pour l'environnement et l'agriculture,Antony,,France
60000701,Elizabeth City State University,Elizabeth City,NC,United States
60000703,University Hospital Southampton NHS Foundation Trust,Southampton,Hampshire,United Kingdom
60000705,University of South Alabama,Mobile,AL,United States
60000709,MSA University,6th October,Giza,Egypt
60000711,Valdosta State University,Valdosta,GA,United States
60000712,University of North Bengal,Darjeeling,WB,India
60000716,United Technologies Corporation,Farmington,CT,United States
60000717,University of Johannesburg,Johannesburg,Gauteng,South Africa
60000723,"Medtronic, Inc.",Minneapolis,MN,United States
60000726,Max-Planck-Institut für Evolutionsbiologie,Plon,Schleswig-Holstein,Germany
60000729,"Istituto Di Ricerca Per La Protezione Idrogeologica, Perugia",Perugia,PG,Italy
60000745,University of Illinois Urbana-Champaign,Urbana,IL,United States
60000760,ENSTA Bretagne,Brest,Brittany,France
60000762,Humboldt-Universität zu Berlin,Berlin,,Germany
60000763,Andong National University,Andong,Gyeongsangbuk-do,South Korea
60000764,The Mount Sinai Medical Center,New York,NY,United States
60000765,Friedrich-Alexander-Universität Erlangen-Nürnberg,Erlangen,Bayern,Germany
60000770,Laboratoire d'Astrophysique de Bordeaux,Pessac,Nouvelle-Aquitaine,France
60000786,U.S. Pharmacopeia,Rockville,MD,United States
60000792,Lapin Yliopisto,Rovaniemi,Lapland,Finland
60000796,Institute of Hematology and Blood Transfusion,Prague,,Czech Republic
60000803,Institut de Chimie Moléculaire de Grenoble,Grenoble,Auvergne-Rhone-Alpes,France
60000812,Harvey Mudd College,Claremont,CA,United States
60000823,Universidad de Castilla-La Mancha,Ciudad Real,Castile-La Mancha,Spain
60000832,Centre Hospitalier Intercommunal Creteil,Creteil,,France
60000840,International Food Policy Research Institute,"Washington, D.C.",DC,United States
60000846,Motilal Nehru National Institute of Technology Allahabad,Allahabad,UP,India
60000854,NASA Langley Research Center,Hampton,VA,United States
60000863,Micromachine Center,Tokyo,Tokyo,Japan
60000867,Inter University Accelerator Centre India,New Delhi,,India
60000869,Uniklinik Balgrist,Zurich,ZH,Switzerland
60000872,Kangwon National University,Chuncheon,Gangwon-do,South Korea
60000874,Université Catholique de Louvain,Louvain-la-Neuve,WBR,Belgium
60000879,Western Michigan University,Kalamazoo,MI,United States
60000881,Chiang Mai University,Chaing Mai,,Thailand
60000886,Osaka Electro-Communication University,Neyagawa,Osaka,Japan
60000890,Institute of Problems of Mechanical Engineering of the Russian Academy of Sciences,Saint Petersburg,Leningrad Oblast,Russian Federation
60000891,Loughborough University,Loughborough,Leicestershire,United Kingdom
60000905,Inserm,Paris,Ile-de-France,France
60000906,Universiti Sains Malaysia,Minden,Penang,Malaysia
60000912,"Indian Institute of Engineering Science and Technology, Shibpur",Howrah,WB,India
60000913,Anglia Ruskin University,Cambridge,Cambridgeshire,United Kingdom
60000915,Mersey Care NHS Foundation Trust,Prescot,Merseyside,United Kingdom
60000928,Emory University,Atlanta,GA,United States
60000931,University of Northampton,Northampton,Northamptonshire,United Kingdom
60000934,National Institute of Technology Rourkela,Rourkela,OR,India
60000937,Shenzhen University,Shenzhen,Guangdong,China
60000943,Universidade Federal do Amazonas,Manaus,AM,Brazil
60000944,Helsinki Institute for Information Technology,Helsinki,Uusimaa,Finland
60000947,U.S. Department of Commerce,"Washington, D.C.",DC,United States
60000950,CSIC-IEO - Instituto Español de Oceanografía,Madrid,,Spain
60000952,"Federal University of Technology, Owerri",Owerri,Imo,Nigeria
60000958,Universidade Federal Rural de Pernambuco,Recife,PE,Brazil
60000960,École des Mines de Saint-Étienne,Saint-Etienne,Auvergne-Rhone-Alpes,France
60000961,Institut Ruđer Bošković,Zagreb,,Croatia
60000964,Université de Liège,Liege,WLG,Belgium
60000966,Onkološki Inštitut Ljubljana,Ljubljana,,Slovenia
60000970,Transylvania University,Lexington,KY,United States
60000972,University of Worcester,Worcester,Worcestershire,United Kingdom
60000973,German University in Cairo,New Cairo,Cairo,Egypt
60000982,Naval Air Systems Command,Patuxent River,MD,United States
60000983,MacNeal Hospital,Berwyn,IL,United States
60000984,"Science Systems and Applications, Inc. (SSAI)",Lanham,MD,United States
60000986,University of Massachusetts Chan Medical School,Worcester,MA,United States
60000990,Chalmers University of Technology,Gothenburg,Vastra Gotaland,Sweden
60000994,"Islamic Azad University, Ardabil Branch",Ardabil,Ardabil,Iran
60000995,Instytut Farmakologii im. Jerzego Maja Polskiej Akademii Nauk,Krakow,MP,Poland
60001001,Broad Institute,Cambridge,MA,United States
60001002,Universidade da Beira Interior,Covilha,Castelo Branco,Portugal
60001012,Wildlife Conservation Society,New York,NY,United States
60001016,Veer Narmad South Gujarat University,Surat,GJ,India
60001018,Ewha Womans University,Seoul,Seoul,South Korea
60001037,National Research University of Electronic Technology (MIET),Moscow,,Russian Federation
60001041,National Australia Bank,Melbourne,,Australia
60001046,"Fraunhofer Institute for High-Speed Dynamics, Ernst-Mach-Institut EMI",Freiburg im Breisgau,Baden-Wurttemberg,Germany
60001055,Cooper Union for the Advancement of Science and Art,New York,NY,United States
60001059,"Koch Industries, Inc.",Wichita,KS,United States
60001062,State of Maryland,Crownsville,MD,United States
60001065,Kannur University,Kanpur,KL,India
60001071,Cape Peninsula University of Technology,Bellville,,South Africa
60001081,China Telecommunications,Beijing,,China
60001086,University of Macedonia,Thessaloniki,Central Macedonia,Greece
60001091,INRAE Occitanie-Toulouse Centre,Castanet-Tolosan,Occitanie,France
60001093,FedEx,Memphis,TN,United States
60001099,Kobe Gakuin University,Kobe,Hyogo,Japan
60001104,"National Centre for Scientific Research \DEMOKRITOS\""""",Athens,Attica,Greece
60001105,Hubei Polytechnic University,Huangshi,Hubei,China
60001111,"Consiglio Nazionale delle Ricerche, Institute for Electromagnetic Sensing of the Environment",Naples,,Italy
60001114,Newton-Wellesley Hospital,Newtown,MA,United States
60001125,Institute of Physical Chemistry Bulgarian Academy of Sciences,Sofia,,Bulgaria
60001127,St. Lawrence University,Canton,NY,United States
60001134,Swiss Reinsurance Company,Zurich,,Switzerland
60001152,"National Institute of Technology, Fukui College",Sabae,Fukui,Japan
60001155,Johnson Controls,Milwaukee,WI,United States
60001166,Thapar Institute of Engineering & Technology,Patiala,PB,India
60001167,Fraunhofer Institute for Laser Technology ILT,Aachen,Nordrhein-Westfalen,Germany
60001170,Yeungnam University,Gyeongsan,Gyeongsangbuk-do,South Korea
60001177,Millersville University,Millersville,PA,United States
60001181,"University of Agricultural Sciences, Bangalore",Bengaluru,KA,India
60001187,Jeonbuk National University,Jeonju,Jeollabuk-do,South Korea
60001197,Universidad Central de Venezuela,Caracas,,Venezuela
60001204,CSIC - Instituto de Biologia Molecular y Celular de Plantas Primo Yufera,Valencia,Valencia,Spain
60001210,New York State Office of Mental Retardation and Developmental Disabilities,Albany,NY,United States
60001223,"California State University, Stanislaus",Turlock,CA,United States
60001239,The Newcastle Upon Tyne Hospitals NHS Foundation Trust,Newcastle,Tyne and Wear,United Kingdom
60001241,University of Arkansas at Little Rock,Little Rock,AR,United States
60001248,Charles Sturt University,Bathurst,NSW,Australia
60001255,"Changchun Institute Of Applied Chemistry, Chinese Academy Of Sciences",Changchun,Jilin,China
60001260,Oklahoma Baptist University,Shawnee,OK,United States
60001262,United States Air Force,Arlington,VA,United States
60001267,Illinois College,Jacksonville,IL,United States
60001271,Advanced Telecommunications Research Institute International (ATR),Kyoto,Kyoto,Japan
60001278,Universiti Teknologi PETRONAS,Seri Iskandar,Perak,Malaysia
60001280,Mills College,Oakland,CA,United States
60001282,Universidad de Concepcion,Biobio,Biobio,Chile
60001298,Northwest University,Xi'an,Shaanxi,China
60001303,Barry University,Miami,FL,United States
60001305,North University of China,Taiyuan,Shanxi,China
60001311,Universidade Estadual do Maranhão,Sao Luis,MA,Brazil
60001313,China Remote Sensing Satellite Ground Station Chinese Academy of Sciences,Beijing,Beijing,China
60001317,Universitatea Politehnica Timisoara,Timisoara,Timis,Romania
60001320,Kyoto Prefectural University,Kyoto,Kyoto,Japan
60001335,Observatoire des Sciences de l'Univers de Grenoble,Saint Martin d'Heres,Auvergne-Rhone-Alpes,France
60001338,Changsha University of Science and Technology,Changsha,Hunan,China
60001340,Hainan Normal University,Haikou,Hainan,China
60001341,Central Food Technological Research Institute India,Mysore,KA,India
60001343,Brock University,St. Catharines,ON,Canada
60001344,Tufts Medical Center,Boston,MA,United States
60001359,University of Essex,Colchester,Essex,United Kingdom
60001371,Defense Threat Reduction Agency,Fort Belvoir,VA,United States
60001372,Capio S:t Görans Sjukhus,Stockholm,Stockholm,Sweden
60001375,Universidade do Oeste Paulista,Presidente Prudente,SP,Brazil
60001382,Nippon Institute of Technology,Minami-saitama District,Saitama,Japan
60001384,Centre Clermont-Auvergne-Rhône-Alpes,Saint-Genes-Champanelle,Auvergne-Rhone-Alpes,France
60001395,Australian Government Department of Defence,Canberra,ACT,Australia
60001396,Show-Chwan Memorial Hospital Taiwan,Changhua,Changhua,Taiwan
60001397,Great Wall Technology,Shenzhen,Guangdong,China
60001400,Università degli Studi Suor Orsola Benincasa,Naples,,Italy
60001403,Qiqihar University,Qiqihar,Heilongjiang,China
60001404,INRAE's Occitanie-Montpellier Centre,Montpellier,Occitanie,France
60001406,Guru Jambheshwar University of Science & Technology,Hisar,HR,India
60001409,Kanagawa Institute of Technology,Atsugi,Kanagawa,Japan
60001419,Guangdong Polytechnic Normal University,Guangzhou,Guangdong,China
60001420,Yaroslavl State University,Yaroslavl,Yaroslavl Oblast,Russian Federation
60001422,Sorbonne Université,Paris,Ile-de-France,France
60001426,East Tennessee State University,Johnson,TN,United States
60001429,Shandong University of Science and Technology,Qingdao,Shandong,China
60001430,Universidade Federal do ABC,Santo Andre,SP,Brazil
60001434,Budapesti Corvinus Egyetem,Budapest,Budapest,Hungary
60001439,Pennsylvania State University,University Park,PA,United States
60001441,Universitätsklinikum Schleswig-Holstein,Kiel,Schleswig-Holstein,Germany
60001443,"Department of Health, Pretoria",Pretoria,,South Africa
60001451,Centro de Investigaciones de Astronomía,Merida,,Venezuela
60001455,Anhui University,Hefei,Anhui,China
60001456,Boise State University,Boise,ID,United States
60001457,Ufa State Petroleum Technological University,Ufa,Bashkortostan Republic,Russian Federation
60001460,"Nova Research, Inc.",Alexandria,VA,United States
60001463,"Istituto Di Biofisica, Pisa",Pisa,PI,Italy
60001466,Bank of America Corp.,Charlotte,NC,United States
60001477,Suan Dusit University,Bangkok,Bangkok,Thailand
60001478,Universitatea din Bucuresti,Bucharest,Bucharest,Romania
60001479,National Taitung University Taiwan,Taitung,Taitung,Taiwan
60001489,Siedlce University of Natural Sciences and Humanities,Siedlce,MA,Poland
60001490,University of Glasgow,Glasgow,Scotland,United Kingdom
60001492,HSBC Holdings,London,,United Kingdom
60001500,Mashhad University of Medical Sciences,Mashhad,Razavi Khorasan,Iran
60001504,Pitzer College,Claremont,CA,United States
60001508,International Medical University,Kuala Lumpur,,Malaysia
60001509,Stockton University,Galloway Township,NJ,United States
60001512,SRON Netherlands Institute for Space Research,Utrecht,,Netherlands
60001516,Army Medical Department,San Antonio,TX,United States
60001522,St. Vincent's Hospital Melbourne,Fitzroy,VIC,Australia
60001524,University of Crete,Rethymnon,Crete,Greece
60001525,Smith College,Northampton,MA,United States
60001526,Mississippi State University,Mississippi State,MS,United States
60001528,Stellenbosch Institute for Advanced Study,Stellenbosch,,South Africa
60001529,Qinghai Normal University,Xining,Qinghai,China
60001536,National Library of Medicine (NLM),Bethesda,MD,United States
60001558,Electronics and Telecommunications Research Institute,Daejeon,,South Korea
60001562,Boys Town National Research Hospital,Omaha,NE,United States
60001563,Universidad de Buenos Aires,Buenos Aires,,Argentina
60001565,Stellenbosch University,Stellenbosch,Western Cape,South Africa
60001576,Universitat de Barcelona,Barcelona,Barcelona,Spain
60001580,University of Miyazaki,Miyazaki,Miyazaki,Japan
60001587,Westfälische Hochschule Gelsenkirchen,Gelsenkirchen,Nordrhein-Westfalen,Germany
60001590,Rehabilitation Institute of Chicago,Chicago,IL,United States
60001601,National Institute of Agricultural Botany,Cambridge,Cambridgeshire,United Kingdom
60001602,Instituto de Salud Carlos III,Madrid,Madrid,Spain
60001604,Ministry of Education of the People's Republic of China,Beijing,Beijing,China
60001610,"Institute for Studies in Theoretical Physics and Mathematics, Tehran",Tehran,Tehran,Iran
60001619,University of Kurdistan,Sanandaj,Kurdistan,Iran
60001633,MRC Weatherall Institute of Molecular Medicine,Oxford,Oxfordshire,United Kingdom
60001635,St. Norbert College,De Pere,WI,United States
60001642,Systems Research Institute of the Polish Academy of Sciences,Warsaw,MA,Poland
60001644,Politechnika Koszalinska,Koszalin,,Poland
60001646,Center for Vaccine Development and Global Health (CVD),Baltimore,MD,United States
60001659,Institut Élie Cartan de Lorraine,Vandoeouvre-les-Nancy,Grand Est,France
60001666,Wuhan Institute of Rock and Soil Mechanics Chinese Academy of Sciences,Wuhan,Hubei,China
60001673,Amgen Incorporated,Thousand Oaks,CA,United States
60001675,Turku Centre for Computer Science,Turku,Southwest Finland,Finland
60001687,Odesa State Environmental University,Odesa,Odeska Oblast,Ukraine
60001694,"Institute of Biophysics and Biomedical Engineering, Bulgarian Academy of Sciences",Sofia,,Bulgaria
60001701,Universidade Federal de Mato Grosso,Cuiaba,MT,Brazil
60001705,National Institute for Research and Development in Microtechnologies Romania,Bucharest,,Romania
60001711,Universita di Cassino e del Lazio Meridionale,Cassino,FR,Italy
60001723,Agnes Scott College,Decatur,GA,United States
60001726,Kutztown University,Kutztown,PA,United States
60001741,Universidad Carlos III de Madrid,Getafe,Madrid,Spain
60001742,Tibet University,Lhasa,Xizang,China
60001753,IRAM Institut de RadioAstronomie Millimétrique,Saint Martin d'Heres,,France
60001754,Max Planck Institute for Radio Astronomy,Bonn,Nordrhein-Westfalen,Germany
60001755,Universidad Tecnológica Metropolitana,Santiago,RM,Chile
60001769,"University of Nevada, Reno",Reno,NV,United States
60001772,"Institut Pasteur, Paris",Paris,Ile-de-France,France
60001777,Rochester Institute of Technology,Rochester,NY,United States
60001784,Shahid Rajaee Teacher Training University,Tehran,,Iran
60001785,Kungl. Vetenskapsakademien,Stockholm,Stockholm,Sweden
60001795,Pacific Lutheran University,Tacoma,WA,United States
60001800,Ferdowsi University of Mashhad,Mashhad,Razavi Khorasan,Iran
60001810,University of Bolton,Bolton,Lancashire,United Kingdom
60001812,J. A. Woollam Company Incorporated,Lincoln,NE,United States
60001821,Universiti Kebangsaan Malaysia,Bangi,Selangor,Malaysia
60001833,New Zealand Meteorological Service,Wellington,,New Zealand
60001844,Dartmouth-Hitchcock Medical Center,Lebanon,NH,United States
60001845,"UNESCO United Nations Educational, Scientific and Cultural Organization",Paris,,France
60001847,"Astronomical Institute, Academy of Sciences of the Czech Republic v.v.i.",Ondrejov,,Czech Republic
60001854,"Oki Electric Industry Co., Ltd.",Minato,Tokyo,Japan
60001857,Sunchon National University,Suncheon,Jeollanam-do,South Korea
60001865,Universidade Federal Fluminense,Niteroi,RJ,Brazil
60001867,"Calabazas Creek Research, Inc.",Saratoga,CA,United States
60001873,Kyung Hee University,Seoul,,South Korea
60001879,Institut de Mécanique des Fluides de Toulouse,Toulouse,Occitanie,France
60001881,The University of Sheffield,Sheffield,South Yorkshire,United Kingdom
60001884,"Ministry of Higher Education, Science, Research and Innovation",Bangkok,,Thailand
60001886,Luoyang Normal University,Luoyang,Henan,China
60001890,Universidade Federal do Pará,Belem,PA,Brazil
60001894,Sasol Group,Johannesburg,,South Africa
60001895,Ningbo University of Technology,Ningbo,Zhejiang,China
60001896,Government Medical College & Hospital,Chandigarh,,India
60001901,Samara State Medical University,Samara,Samara Oblast,Russian Federation
60001903,Abertay University,Dundee,Scotland,United Kingdom
60001913,Central Mechanical Engineering Research Institute India,Durgapur,WB,India
60001921,National Institute of Development Administration,Bangkok,,Thailand
60001924,Nuclear Physics Institute of the Academy of Sciences of the Czech Republic v. v. i.,Rez,Central Bohemian Region,Czech Republic
60001931,Arkansas Tech University,Russellville,AR,United States
60001932,Taylor University,Upland,IN,United States
60001939,Ursinus College,Collegeville,PA,United States
60001945,"Devi Ahilya Vishwavidyalaya, Indore",Indore,MP,India
60001946,Roche Products Limited UK,Welwyn Garden City,Hertfordshire,United Kingdom
60001965,Suomen Pankki,Helsinki,,Finland
60001966,Kenyon College,Gambier,OH,United States
60001970,Institut de Physique du Globe de Paris,Paris,Ile-de-France,France
60001978,GANIL Grand Accelerateur National d'Ions Lourds,Caen,,France
60001982,Eglin Air Force Base,Valparaiso,FL,United States
60001987,Univerzita Komenského v Bratislave,Bratislava,,Slovakia
60001988,Marlboro College,Marlboro,VT,United States
60001989,USDA Agricultural Research Service,"Washington, D.C.",,United States
60001992,Masaryk Memorial Cancer Institute,Brno,,Czech Republic
60001994,Claflin University,Orangeburg,SC,United States
60002004,Maritime University of Szczecin,Szczecin,West Pomeranian,Poland
60002009,Institute of Earthquake Prediction Theory and Mathematical Geophysics,Moscow,,Russian Federation
60002014,The Royal Institute of Technology (KTH),Stockholm,Stockholms,Sweden
60002018,Liaoning University of Technology,Jinzhou,Liaoning,China
60002021,Ministry of Health,Jerusalem,,Israel
60002023,"Saint Joseph's University, United States",Philadelphia,PA,United States
60002027,Fraunhofer Institute for Microelectronic Circuits and Systems IMS,Duisburg,Nordrhein-Westfalen,Germany
60002032,Rush University,Chicago,IL,United States
60002045,Shandong Provincial Hospital,Jinan,Shandong,China
60002049,Novosibirsk State University,Novosibirsk,Novosibirsk Oblast,Russian Federation
60002055,Saitama Prefectural University,Koshigaya,Saitama,Japan
60002059,U.S. Army Research Office,Research Triangle Park,NC,United States
60002062,ITER,Saint Paul lez Durance,Provence-Alpes-Cote d'Azur,France
60002076,American Society of Clinical Oncology,Alexandria,VA,United States
60002083,Technische Fachhochschule Wildau,Wildau,Brandenburg,Germany
60002088,Missouri Breaks Industries Research Incorporated,Timber Lake,SD,United States
60002090,Ehime University,Matsuyama,Ehime,Japan
60002092,Florida State University,Tallahassee,FL,United States
60002096,Bialystok University of Technology,Bialystok,PD,Poland
60002101,Universidade Federal de Alfenas,Alfenas,MG,Brazil
60002103,Universitatea din Bacau,Bacu,Bacau,Romania
60002108,Florence Nightingale Hospital,Istanbul,,Turkey
60002112,The Maharaja Sayajirao University of Baroda,Vadodara,GJ,India
60002120,Institute of Physics Bhubaneswar,Bhubaneswar,OR,India
60002123,EURANDOM,Eindhoven,,Netherlands
60002128,Université de Neuchâtel,Neuchatel,NE,Switzerland
60002135,"Marvell Semiconductor, Inc.",Sunnyvale,CA,United States
60002142,Université Lumière Lyon 2,Lyon,Auvergne-Rhone-Alpes,France
60002144,Universidade do Algarve,Faro,Faro,Portugal
60002146,Ontario Tech University,Oshawa,ON,Canada
60002149,Le Réseau de l'Université du Québec,Quebec,QC,Canada
60002151,"Instituto Potosino de Investigación Científica y Tecnológica, A.C.",San Luis Potosi,SLP,Mexico
60002162,New Mexico State University,Las Cruces,NM,United States
60002171,"Centre for Development of Advanced Computing, India",Pune,MH,India
60002174,CBM Centre de Biophysique Moléculaire,Orleans,,France
